GEOID,NAME,PERCENT OF HOUSING CROWDED,PERCENT HOUSEHOLDS BELOW POVERTY,PERCENT AGED 16+ UNEMPLOYED,PERCENT AGED 25+ WITHOUT HIGH SCHOOL DIPLOMA,PERCENT AGED UNDER 18 OR OVER 64,PER CAPITA INCOME,HARDSHIP INDEX
06075061200,Census Tract 612; San Francisco County; California,5.9,5.6,1.2,25.9,32.6,47743.0,49.3
06075061401,Census Tract 614.01; San Francisco County; California,0.8,8.7,10.6,9.3,32.8,103945.0,43.6
06075061402,Census Tract 614.02; San Francisco County; California,0.0,0.0,1.4,1.2,23.299999999999997,124537.0,22.1
06075061501,Census Tract 615.01; San Francisco County; California,0.0,0.0,2.7,0.0,21.9,278590.0,9.1
06075061502,Census Tract 615.02; San Francisco County; California,2.2,10.0,10.0,1.6,27.0,82617.0,42.7
06075061503,Census Tract 615.03; San Francisco County; California,0.0,0.0,8.5,7.1,9.0,148139.0,23.6
06075061504,Census Tract 615.04; San Francisco County; California,0.0,0.0,8.5,0.8,13.299999999999999,191183.0,19.3
06075061505,Census Tract 615.05; San Francisco County; California,0.0,0.0,0.0,2.8,18.9,161122.0,16.8
06075061506,Census Tract 615.06; San Francisco County; California,0.0,2.0,4.8,1.4,7.6,238640.0,11.2
06075061507,Census Tract 615.07; San Francisco County; California,7.1,0.0,0.0,6.7,17.0,83276.0,32.0
06075061508,Census Tract 615.08; San Francisco County; California,0.0,0.0,1.0,3.8,13.7,152007.0,17.0
06075980200,Census Tract 9802; San Francisco County; California,,,,18.3,79.6,27414.0,89.2
06075980300,Census Tract 9803; San Francisco County; California,0.0,0.0,10.5,0.0,0.0,86676.0,25.4
06075980401,Census Tract 9804.01; San Francisco County; California,,,,0.0,0.0,,0.0
06075980501,Census Tract 9805.01; San Francisco County; California,0.0,0.0,,90.7,100.0,12498.0,100.0
06075980600,Census Tract 9806; San Francisco County; California,0.0,0.0,4.0,10.5,27.7,72318.0,33.5
06075980900,Census Tract 9809; San Francisco County; California,0.0,21.2,0.0,13.7,28.9,71974.0,42.8
06075990100,Census Tract 9901; San Francisco County; California,,,,0.0,0.0,,0.0
06075990200,Census Tract 9902; San Francisco County; California,,,,0.0,0.0,,0.0
