Community Area,Year,Month,AGGRAVATED ASSAULT FIREARM,AGGRAVATED ASSAULT NO FIREARM,ALL OTHER OFFENSES,ARSON,BURGLARY NON-RESIDENTIAL,BURGLARY RESIDENTIAL,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,EMBEZZLEMENT,FORGERY AND COUNTERFEITING,FRAUD,GAMBLING VIOLATIONS,HOMICIDE - CRIMINAL,HOMICIDE - JUSTIFIABLE,LIQUOR LAW VIOLATIONS,MOTOR VEHICLE THEFT,NARCOTIC / DRUG LAW VIOLATIONS,OFFENSES AGAINST FAMILY AND CHILDREN,OTHER ASSAULTS,OTHER SEX OFFENSES (NOT COMMERCIALIZED),PROSTITUTION AND COMMERCIALIZED VICE,PUBLIC DRUNKENNESS,RAPE,RECEIVING STOLEN PROPERTY,ROBBERY FIREARM,ROBBERY NO FIREARM,THEFT FROM VEHICLE,THEFTS,VAGRANCY/LOITERING,VANDALISM/CRIMINAL MISCHIEF,WEAPON VIOLATIONS
01,2025,6,2.0,9.0,12.0,0.0,5.0,2.0,0.0,0.0,0.0,1.0,31.0,0.0,0.0,0.0,0.0,28.0,3.0,0.0,35.0,3.0,0.0,0.0,0.0,1.0,1.0,4.0,22.0,126.0,0.0,19.0,4.0
01,2025,7,0.0,4.0,10.0,0.0,1.0,3.0,1.0,2.0,2.0,0.0,20.0,0.0,0.0,0.0,0.0,40.0,1.0,0.0,27.0,2.0,0.0,0.0,2.0,1.0,0.0,3.0,16.0,105.0,0.0,24.0,2.0
01,2025,8,1.0,6.0,13.0,0.0,1.0,6.0,0.0,2.0,1.0,0.0,19.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,29.0,0.0,0.0,0.0,2.0,1.0,1.0,5.0,20.0,101.0,0.0,28.0,3.0
01,2025,9,0.0,4.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,39.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,24.0,106.0,0.0,27.0,3.0
01,2025,10,1.0,8.0,16.0,1.0,5.0,6.0,0.0,0.0,1.0,0.0,18.0,0.0,0.0,0.0,0.0,35.0,1.0,0.0,37.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,25.0,100.0,0.0,23.0,2.0
01,2025,11,3.0,3.0,12.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,30.0,1.0,0.0,20.0,1.0,0.0,0.0,0.0,5.0,0.0,3.0,30.0,95.0,0.0,23.0,0.0
01,2025,12,3.0,2.0,11.0,0.0,2.0,6.0,0.0,0.0,1.0,0.0,8.0,0.0,1.0,0.0,0.0,21.0,1.0,2.0,17.0,1.0,0.0,0.0,2.0,1.0,3.0,3.0,24.0,83.0,0.0,20.0,1.0
01,2026,1,0.0,7.0,13.0,1.0,3.0,1.0,0.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,24.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,25.0,75.0,0.0,16.0,0.0
01,2026,2,3.0,4.0,12.0,0.0,3.0,4.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,34.0,2.0,0.0,0.0,0.0,2.0,1.0,3.0,12.0,66.0,0.0,15.0,2.0
01,2026,3,1.0,6.0,12.0,0.0,5.0,4.0,0.0,1.0,0.0,0.0,21.0,0.0,1.0,0.0,0.0,24.0,2.0,0.0,33.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,23.0,75.0,0.0,22.0,3.0
01,2026,4,2.0,6.0,10.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,30.0,0.0,1.0,32.0,2.0,3.0,0.0,0.0,2.0,0.0,2.0,6.0,90.0,0.0,21.0,4.0
02,2024,1,9.0,24.0,43.0,3.0,5.0,10.0,0.0,4.0,1.0,0.0,40.0,0.0,0.0,0.0,0.0,71.0,4.0,0.0,99.0,4.0,1.0,0.0,4.0,8.0,18.0,13.0,29.0,294.0,0.0,50.0,7.0
02,2024,2,8.0,16.0,34.0,1.0,2.0,13.0,0.0,4.0,0.0,0.0,33.0,0.0,1.0,0.0,1.0,75.0,3.0,0.0,98.0,2.0,0.0,0.0,3.0,4.0,16.0,11.0,31.0,294.0,0.0,42.0,9.0
02,2024,3,12.0,15.0,30.0,3.0,3.0,15.0,0.0,2.0,2.0,0.0,32.0,0.0,2.0,0.0,0.0,81.0,4.0,0.0,84.0,4.0,0.0,0.0,2.0,6.0,12.0,10.0,39.0,247.0,0.0,51.0,6.0
02,2024,4,14.0,18.0,34.0,2.0,4.0,16.0,2.0,3.0,1.0,2.0,30.0,0.0,0.0,0.0,0.0,72.0,5.0,0.0,99.0,3.0,0.0,0.0,1.0,3.0,6.0,18.0,46.0,277.0,0.0,56.0,6.0
02,2024,5,7.0,23.0,32.0,3.0,6.0,9.0,0.0,2.0,0.0,2.0,39.0,0.0,2.0,0.0,2.0,73.0,3.0,0.0,128.0,5.0,0.0,0.0,2.0,4.0,6.0,18.0,85.0,324.0,0.0,76.0,7.0
02,2024,6,12.0,17.0,34.0,1.0,7.0,12.0,1.0,3.0,2.0,0.0,28.0,0.0,2.0,0.0,1.0,65.0,2.0,0.0,119.0,1.0,0.0,0.0,1.0,4.0,8.0,13.0,107.0,358.0,0.0,79.0,7.0
02,2024,7,19.0,19.0,42.0,1.0,5.0,11.0,0.0,7.0,1.0,1.0,38.0,0.0,1.0,0.0,0.0,90.0,2.0,1.0,125.0,2.0,0.0,0.0,1.0,5.0,9.0,13.0,96.0,325.0,0.0,64.0,5.0
02,2024,8,11.0,22.0,29.0,1.0,7.0,13.0,2.0,6.0,0.0,0.0,37.0,0.0,0.0,0.0,1.0,87.0,0.0,0.0,106.0,3.0,0.0,0.0,4.0,10.0,6.0,16.0,47.0,277.0,0.0,64.0,12.0
02,2024,9,17.0,21.0,40.0,1.0,1.0,10.0,0.0,5.0,0.0,1.0,49.0,0.0,0.0,0.0,0.0,76.0,1.0,0.0,114.0,2.0,0.0,0.0,2.0,3.0,7.0,13.0,44.0,270.0,0.0,62.0,5.0
02,2024,10,10.0,23.0,48.0,1.0,4.0,14.0,2.0,4.0,1.0,0.0,35.0,0.0,1.0,0.0,0.0,121.0,3.0,1.0,107.0,3.0,0.0,0.0,3.0,2.0,11.0,8.0,79.0,311.0,0.0,66.0,5.0
02,2024,11,7.0,10.0,18.0,2.0,8.0,10.0,0.0,5.0,0.0,0.0,28.0,0.0,1.0,0.0,1.0,101.0,2.0,0.0,118.0,9.0,0.0,0.0,1.0,3.0,12.0,17.0,63.0,283.0,0.0,57.0,3.0
02,2024,12,10.0,12.0,24.0,0.0,15.0,11.0,0.0,5.0,1.0,1.0,23.0,0.0,1.0,0.0,0.0,93.0,1.0,0.0,100.0,4.0,0.0,0.0,4.0,3.0,9.0,15.0,47.0,238.0,0.0,65.0,4.0
02,2025,1,7.0,13.0,33.0,1.0,8.0,7.0,0.0,6.0,2.0,1.0,31.0,0.0,0.0,0.0,0.0,97.0,12.0,0.0,95.0,6.0,0.0,0.0,2.0,4.0,13.0,12.0,38.0,250.0,0.0,37.0,11.0
02,2025,2,7.0,14.0,35.0,1.0,6.0,7.0,0.0,5.0,0.0,0.0,39.0,0.0,2.0,0.0,0.0,74.0,5.0,0.0,101.0,1.0,0.0,0.0,6.0,11.0,2.0,6.0,41.0,209.0,0.0,40.0,5.0
02,2025,3,5.0,10.0,31.0,0.0,6.0,8.0,0.0,5.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,86.0,2.0,2.0,88.0,1.0,0.0,0.0,2.0,4.0,5.0,6.0,31.0,221.0,0.0,51.0,5.0
02,2025,4,6.0,12.0,45.0,2.0,1.0,10.0,0.0,5.0,2.0,1.0,32.0,0.0,0.0,0.0,0.0,86.0,4.0,0.0,125.0,2.0,0.0,0.0,0.0,9.0,5.0,8.0,35.0,231.0,0.0,54.0,6.0
02,2025,5,9.0,22.0,58.0,2.0,1.0,10.0,3.0,1.0,0.0,2.0,30.0,0.0,0.0,0.0,0.0,84.0,2.0,0.0,118.0,4.0,0.0,0.0,4.0,5.0,6.0,7.0,43.0,308.0,0.0,50.0,9.0
02,2025,6,13.0,20.0,55.0,0.0,4.0,8.0,1.0,0.0,2.0,1.0,33.0,0.0,0.0,0.0,0.0,96.0,2.0,0.0,86.0,3.0,0.0,0.0,2.0,3.0,9.0,6.0,48.0,294.0,0.0,76.0,7.0
02,2025,7,7.0,17.0,34.0,3.0,3.0,12.0,2.0,1.0,1.0,1.0,26.0,0.0,0.0,0.0,0.0,132.0,1.0,0.0,116.0,1.0,0.0,0.0,4.0,4.0,7.0,13.0,44.0,309.0,0.0,59.0,5.0
02,2025,8,11.0,10.0,61.0,1.0,5.0,9.0,0.0,1.0,1.0,0.0,29.0,0.0,1.0,0.0,0.0,88.0,3.0,0.0,105.0,0.0,0.0,0.0,4.0,3.0,5.0,6.0,62.0,246.0,0.0,54.0,4.0
02,2025,9,13.0,14.0,62.0,1.0,2.0,10.0,0.0,4.0,3.0,0.0,37.0,0.0,0.0,0.0,0.0,88.0,1.0,0.0,127.0,3.0,1.0,0.0,4.0,3.0,12.0,11.0,49.0,318.0,0.0,50.0,2.0
02,2025,10,7.0,25.0,42.0,0.0,4.0,11.0,2.0,2.0,1.0,1.0,36.0,0.0,2.0,0.0,0.0,65.0,2.0,1.0,129.0,2.0,0.0,0.0,3.0,3.0,6.0,12.0,43.0,326.0,0.0,49.0,6.0
02,2025,11,7.0,12.0,26.0,2.0,2.0,13.0,0.0,1.0,0.0,0.0,45.0,0.0,1.0,0.0,0.0,76.0,1.0,3.0,112.0,3.0,0.0,0.0,4.0,2.0,10.0,9.0,42.0,352.0,0.0,44.0,5.0
02,2025,12,10.0,16.0,29.0,2.0,7.0,14.0,0.0,6.0,1.0,0.0,30.0,0.0,0.0,0.0,0.0,57.0,1.0,4.0,105.0,1.0,0.0,0.0,0.0,5.0,2.0,6.0,35.0,322.0,0.0,44.0,4.0
02,2026,1,1.0,13.0,24.0,1.0,3.0,5.0,0.0,3.0,1.0,1.0,31.0,0.0,2.0,0.0,0.0,41.0,1.0,0.0,76.0,1.0,0.0,0.0,4.0,0.0,4.0,9.0,23.0,245.0,0.0,44.0,6.0
02,2026,2,7.0,7.0,30.0,0.0,3.0,6.0,0.0,1.0,0.0,1.0,26.0,0.0,0.0,0.0,0.0,60.0,0.0,1.0,77.0,1.0,0.0,0.0,2.0,1.0,3.0,7.0,20.0,218.0,0.0,38.0,2.0
02,2026,3,5.0,21.0,46.0,4.0,7.0,10.0,0.0,0.0,0.0,0.0,39.0,0.0,2.0,0.0,0.0,57.0,2.0,1.0,90.0,4.0,0.0,0.0,1.0,2.0,3.0,10.0,26.0,282.0,0.0,34.0,1.0
02,2026,4,6.0,16.0,38.0,6.0,1.0,9.0,0.0,2.0,1.0,0.0,37.0,0.0,0.0,0.0,0.0,87.0,1.0,1.0,102.0,2.0,0.0,0.0,2.0,1.0,6.0,11.0,27.0,334.0,0.0,61.0,5.0
03,2024,1,7.0,26.0,20.0,2.0,18.0,9.0,0.0,1.0,2.0,1.0,26.0,0.0,0.0,0.0,0.0,56.0,2.0,0.0,64.0,4.0,0.0,0.0,2.0,3.0,4.0,6.0,39.0,150.0,0.0,24.0,3.0
03,2024,2,7.0,12.0,15.0,0.0,7.0,8.0,3.0,0.0,2.0,0.0,45.0,0.0,1.0,0.0,1.0,41.0,2.0,1.0,72.0,4.0,0.0,0.0,0.0,1.0,4.0,8.0,59.0,158.0,0.0,39.0,2.0
03,2024,3,3.0,17.0,29.0,1.0,2.0,6.0,3.0,3.0,1.0,1.0,36.0,0.0,1.0,0.0,0.0,41.0,0.0,0.0,72.0,5.0,0.0,0.0,3.0,4.0,8.0,8.0,58.0,152.0,0.0,36.0,3.0
03,2024,4,2.0,16.0,27.0,2.0,8.0,10.0,2.0,0.0,2.0,0.0,31.0,0.0,1.0,0.0,1.0,65.0,3.0,0.0,83.0,3.0,0.0,0.0,0.0,2.0,5.0,13.0,59.0,171.0,0.0,59.0,5.0
03,2024,5,5.0,13.0,21.0,2.0,4.0,14.0,2.0,1.0,2.0,0.0,29.0,0.0,0.0,0.0,1.0,83.0,2.0,0.0,87.0,4.0,0.0,1.0,2.0,1.0,2.0,8.0,58.0,206.0,0.0,44.0,2.0
03,2024,6,4.0,20.0,44.0,4.0,3.0,9.0,1.0,2.0,1.0,0.0,34.0,0.0,0.0,0.0,0.0,73.0,1.0,0.0,83.0,4.0,1.0,0.0,0.0,3.0,3.0,7.0,61.0,164.0,0.0,48.0,2.0
03,2024,7,6.0,20.0,30.0,3.0,10.0,12.0,0.0,0.0,2.0,1.0,41.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,63.0,5.0,0.0,1.0,3.0,5.0,6.0,13.0,59.0,173.0,0.0,39.0,1.0
03,2024,8,3.0,22.0,36.0,1.0,3.0,7.0,3.0,2.0,2.0,2.0,41.0,0.0,1.0,0.0,0.0,57.0,1.0,0.0,77.0,5.0,0.0,0.0,1.0,2.0,13.0,13.0,82.0,180.0,0.0,55.0,2.0
03,2024,9,2.0,16.0,23.0,2.0,6.0,7.0,1.0,4.0,2.0,2.0,34.0,0.0,0.0,0.0,0.0,77.0,3.0,0.0,84.0,4.0,0.0,0.0,1.0,1.0,4.0,14.0,80.0,172.0,0.0,58.0,2.0
03,2024,10,5.0,15.0,21.0,0.0,6.0,17.0,0.0,4.0,1.0,0.0,36.0,0.0,0.0,0.0,0.0,96.0,1.0,0.0,77.0,7.0,0.0,2.0,2.0,2.0,5.0,19.0,62.0,258.0,0.0,65.0,3.0
03,2024,11,8.0,19.0,20.0,0.0,10.0,3.0,2.0,0.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,68.0,5.0,0.0,1.0,0.0,1.0,2.0,16.0,48.0,180.0,0.0,51.0,3.0
